Date,Time,Min,Max,Avr
2022-11-07,16:21:03,18,22,19
2022-11-07,16:21:12,17,24,20
2022-11-07,16:21:20,18,26,22
2022-11-07,16:21:28,16,35,21
2022-11-07,16:21:36,16,19,17
2022-11-07,16:21:44,16,22,19
2022-11-07,16:21:52,17,19,18
2022-11-07,16:22:01,17,25,19
2022-11-07,16:22:09,16,24,21
2022-11-07,16:22:17,16,25,19
2022-11-07,16:22:25,17,30,22
2022-11-07,16:22:33,16,21,18
2022-11-07,16:22:42,16,24,19
2022-11-07,16:22:50,17,21,19
2022-11-07,16:22:58,15,29,22
2022-11-07,16:23:06,16,21,18
2022-11-07,16:23:14,17,20,18
2022-11-07,16:23:22,17,22,19
2022-11-07,16:23:31,15,29,19
2022-11-07,16:23:39,15,21,18
2022-11-07,16:23:47,17,20,18
2022-11-07,16:23:55,15,23,18
2022-11-07,16:24:03,15,24,19
2022-11-07,16:24:12,16,22,20
2022-11-07,16:24:20,16,27,20
2022-11-07,16:24:28,17,24,20
2022-11-07,16:24:36,17,23,19
2022-11-07,16:24:44,17,22,19
2022-11-07,16:24:52,17,23,19
2022-11-07,16:25:01,18,25,21
2022-11-07,16:25:09,16,28,21
2022-11-07,16:25:17,17,20,18
2022-11-07,16:25:25,16,20,18
2022-11-07,16:25:33,17,22,19
2022-11-07,16:25:42,17,30,21
2022-11-07,16:25:50,19,24,21
2022-11-07,16:25:58,16,20,18
2022-11-07,16:26:06,17,22,19
2022-11-07,16:26:14,18,25,21
2022-11-07,16:26:22,17,22,19
2022-11-07,16:26:31,16,20,17
2022-11-07,16:26:39,16,23,18
2022-11-07,16:26:47,18,20,19
2022-11-07,16:26:55,17,24,20
2022-11-07,16:27:03,17,23,20
2022-11-07,16:27:12,17,20,18
2022-11-07,16:27:20,18,28,21
2022-11-07,16:27:28,15,24,19
2022-11-07,16:27:36,17,25,19
2022-11-07,16:27:44,16,19,17
2022-11-07,16:27:52,16,21,17
2022-11-07,16:28:01,17,19,17
2022-11-07,16:28:09,16,23,19
2022-11-07,16:28:17,16,24,19
2022-11-07,16:28:25,16,23,19
2022-11-07,16:28:33,15,22,18
2022-11-07,16:28:41,16,21,17
2022-11-07,16:28:50,15,20,17
2022-11-07,16:28:58,17,24,20
2022-11-07,16:29:06,17,32,21
2022-11-07,16:29:14,17,20,18
2022-11-07,16:29:22,15,25,20
2022-11-07,16:29:31,18,22,19
2022-11-07,16:29:39,15,23,18
2022-11-07,16:29:47,16,26,20
2022-11-07,16:29:55,17,22,19
2022-11-07,16:30:03,19,25,22
2022-11-07,16:30:11,18,19,18
2022-11-07,16:30:20,16,21,18
2022-11-07,16:30:28,17,23,19
2022-11-07,16:30:36,19,27,21
2022-11-07,16:30:44,17,22,19
2022-11-07,16:30:52,18,22,19
2022-11-07,16:31:00,16,21,18
2022-11-07,16:31:09,15,21,18
2022-11-07,16:31:17,17,28,20
2022-11-07,16:31:25,17,21,19
2022-11-07,16:31:33,15,22,17
2022-11-07,16:31:41,18,25,21
2022-11-07,16:31:50,15,23,17
2022-11-07,16:31:58,15,22,18
2022-11-07,16:32:06,16,24,18
2022-11-07,16:32:14,17,23,19
2022-11-07,16:32:22,17,24,19
2022-11-07,16:32:30,16,26,20
2022-11-07,16:32:39,15,19,16
2022-11-07,16:32:47,16,29,20
2022-11-07,16:32:55,16,22,18
2022-11-07,16:33:03,16,22,18
2022-11-07,16:33:11,17,26,20
2022-11-07,16:33:19,19,22,20
2022-11-07,16:33:28,16,23,20
2022-11-07,16:33:36,17,24,20
2022-11-07,16:33:44,17,28,21
2022-11-07,16:33:52,18,20,19
2022-11-07,16:34:00,20,23,21
2022-11-07,16:34:09,17,24,19
2022-11-07,16:34:17,17,23,19
2022-11-07,16:34:25,16,25,20
2022-11-07,16:34:33,18,20,18
2022-11-07,16:34:41,16,20,18
2022-11-07,16:34:49,17,18,17
2022-11-07,16:34:58,16,21,17
2022-11-07,16:35:06,17,21,18
2022-11-07,16:35:14,15,22,17
2022-11-07,16:35:22,17,21,19
2022-11-07,16:35:30,17,24,20
2022-11-07,16:35:39,17,24,20
2022-11-07,16:35:47,18,22,20
2022-11-07,16:35:55,16,25,19
2022-11-07,16:36:03,16,22,18
2022-11-07,16:36:11,16,20,17
2022-11-07,16:36:19,16,27,19
2022-11-07,16:36:28,17,25,21
2022-11-07,16:36:36,16,25,20
2022-11-07,16:36:44,15,22,18
2022-11-07,16:36:52,16,20,17
2022-11-07,16:37:00,18,26,22
2022-11-07,16:37:09,17,21,18
2022-11-07,16:37:17,16,21,18
2022-11-07,16:37:25,18,21,19
2022-11-07,16:37:33,19,23,21
2022-11-07,16:37:41,16,20,18
2022-11-07,16:37:50,17,24,19
2022-11-07,16:37:58,17,22,18
2022-11-07,16:38:06,17,25,20
2022-11-07,16:38:14,16,19,17
2022-11-07,16:38:22,17,21,18
2022-11-07,16:38:30,18,25,21
2022-11-07,16:38:39,21,32,24
2022-11-07,16:38:47,16,20,17
2022-11-07,16:38:55,18,21,18
2022-11-07,16:39:03,17,19,18
2022-11-07,16:39:11,16,21,17
2022-11-07,16:39:19,17,22,19
2022-11-07,16:39:28,16,21,18
2022-11-07,16:39:36,18,25,21
2022-11-07,16:39:44,15,22,18
2022-11-07,16:39:52,17,19,17
2022-11-07,16:40:00,17,21,19
2022-11-07,16:40:09,18,22,19
2022-11-07,16:40:17,16,20,18
2022-11-07,16:40:25,18,25,20
2022-11-07,16:40:33,17,21,19
2022-11-07,16:40:41,16,23,20
2022-11-07,16:40:49,18,24,20
2022-11-07,16:40:58,16,17,16
2022-11-07,16:41:06,16,20,18
2022-11-07,16:41:14,17,20,18
2022-11-07,16:41:22,17,21,18
2022-11-07,16:41:30,16,22,19
2022-11-07,16:41:38,18,23,19
2022-11-07,16:41:47,20,23,21
2022-11-07,16:41:55,17,19,18
2022-11-07,16:42:03,15,25,20
2022-11-07,16:42:11,15,22,18
2022-11-07,16:42:19,16,22,18
2022-11-07,16:42:28,16,29,21
2022-11-07,16:42:36,17,23,19
2022-11-07,16:42:44,17,20,19
2022-11-07,16:42:52,18,24,20
2022-11-07,16:43:00,16,24,20
2022-11-07,16:43:08,16,25,20
2022-11-07,16:43:17,18,22,20
2022-11-07,16:43:25,18,28,20
2022-11-07,16:43:33,17,24,19
2022-11-07,16:43:41,19,22,20
2022-11-07,16:43:49,18,24,21
2022-11-07,16:43:58,16,19,17
2022-11-07,16:44:06,16,20,18
2022-11-07,16:44:14,17,24,20
2022-11-07,16:44:22,17,24,20
2022-11-07,16:44:30,18,21,19
2022-11-07,16:44:38,16,21,18
2022-11-07,16:44:47,16,20,18
2022-11-07,16:44:55,16,22,19
2022-11-07,16:45:03,16,21,18
2022-11-07,16:45:11,16,19,17
2022-11-07,16:45:19,16,21,18
2022-11-07,16:45:27,16,23,18
2022-11-07,16:45:36,16,23,19
2022-11-07,16:45:44,17,21,19
2022-11-07,16:45:52,17,24,20
2022-11-07,16:46:00,18,22,20
2022-11-07,16:46:08,16,23,18
2022-11-07,16:46:17,16,19,17
2022-11-07,16:46:25,16,27,19
2022-11-07,16:46:33,16,23,18
2022-11-07,16:46:41,18,28,22
2022-11-07,16:46:49,17,22,18
2022-11-07,16:46:57,17,22,19
2022-11-07,16:47:06,17,22,18
2022-11-07,16:47:14,15,23,19
2022-11-07,16:47:22,17,22,19
2022-11-07,16:47:30,16,21,19
